Структурное подразделение;Должность (специальность, профессия), разряд, класс (категория) квалификации;Количество человек;Из них мужчин;Из них женщин до 40 лет;Из них женщин старше 40 лет.;№ пункта и приложения приказа №302н;Наименование пункта приказа №302н;Периодичность;Примечание
Центральный офис Отдел закупок и качества поставок;Руководитель отдела закупок ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел закупок и качества поставок;Специалист по закупкам ;4;2;2;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел информационных технологий;Директор отдела информационных технологий ;0;;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел информационных технологий;Специалист по САП ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел информационных технологий;Старший системный администратор ;0;;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел качества по новым проектам;Инженер по качеству ;1;;1;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел качества по новым проектам;Ведущий инженер по системе менеджмента качества;1;;1;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел качества по новым проектам;Инженер по проверке конструкции продукта ;1;;1;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел качества по новым проектам;Инженер по качеству новых проектов ;4;3;1;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел качества по новым проектам;Инженер по развитию поставщиков ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел качества по новым проектам;Руководитель отдела ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел качества по новым проектам;Специалист по качеству ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел новых международных проектов;Директор отдела по новым проектам SBU России ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел новых международных проектов;Координатор международных пректов ;0;;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел новых международных проектов;Координатор проектов ;2;1;1;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел новых международных проектов;Менеджер международных проектов ;6;6;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел персонала;Специалист отдела персонала ;1;;1;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел персонала;Директор по персоналу SBU России ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел персонала;Руководитель направления расчета заработной платы, компенсаций и льгот ;0;;1;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел продаж;Директор по продажам SBU России ;0;;1;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел продаж;Менеджер по ключевым клиентам ;3;3;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел продаж;Специалист отдела продаж ;1;;1;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдел системы менеджмента качества;Руководитель отдела ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдела разработки продукта и дизайна;Инженер по проверке конструкции продукта ;0;;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдела разработки продукта и дизайна;Инженер-конструктор ;4;4;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Отдела разработки продукта и дизайна;Руководитель отдела ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Служба логистики;Директор по логистике ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Служба логистики;Инженер по упаковке ;2;2;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Служба логистики;Менеджер по планированию цепей поставок ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Служба логистики;Руководитель специалистов по логистике ;2;2;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Служба логистики;Специалист по планированию цепей поставок;1;;1;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Служба логистики;Специалист по логистике ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Технологический отдел подготовки производства;Ведущий инженер - технолог ;3;3;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Технологический отдел подготовки производства;Ведущий координатор проекта по изготовлению пресс-форм ;0;;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Технологический отдел подготовки производства;Инженер-технолог ;4;4;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Технологический отдел подготовки производства;Инженер-технолог по окраске ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Технологический отдел подготовки производства;Координатор проектов ;0;;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Технологический отдел подготовки производства;Специалист по изготовлению пресс-форм ;2;2;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Технологический отдел подготовки производства;Технический директор SBU России ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Финансовый отдел;Главный бухгалтер ;1;;;1;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Финансовый отдел;Директор финансового департамента ;0;;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Финансовый отдел;Контролер проектов ;2;2;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Центральный офис Финансовый отдел;Финансовый директор ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Цех литья;Ассистент ;0;;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Цех литья;Бригадир1, 2, 3, 4 категории;6;6;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
;;;;;;п.1 прил. 2;Работы на высоте, верхолазные работы, а также работы по обслуживанию подъемных сооружений;1 раз в год;
;;;;;;п.4.4.1 прил. 1;Размер объекта различения;1 раз в год;
Цех литья;Инженер-технолог ;2;2;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
;;;;;;п.1 прил. 2;Работы на высоте, верхолазные работы, а также работы по обслуживанию подъемных сооружений;1 раз в год;
Цех литья;Мастер смены 1, 2, 3 категории ;2;2;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
;;;;;;п.4.4.1 прил. 1;Размер объекта различения;1 раз в год;
Цех литья;Наладчик 1, 2, 3, 4 категории ;10;10;;;п.1 прил. 2;Работы на высоте, верхолазные работы, а также работы по обслуживанию подъемных сооружений;1 раз в год;
;;;;;;п.1.1 прил.2;Работы в качестве крановщика (машиниста крана);1 раз в 2 года;
Цех литья;Начальник цеха ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Цех литья;Оператор производства 1, 2, 3, 4, 5, 6 категории;31;10;13;8;п.1.2.38 прил.1;Углеводороды ароматические: бензолКР и его производные: (толуолР, ксилолР, стирол и прочие);1 раз в 2 года;
;;;;;;п.4.1. прил.1;Физические перегрузки (физическая динамическая нагрузка, масса поднимаемого и перемещаемого груза вручную, стереотипные рабочие движения, статическая нагрузка, рабочая поза, наклоны корпуса, перемещение в пространстве);1 раз в год;
;;;;;;п.1.2.2 прил.1;Альдегиды алифатические (предельные и непредельные) и ароматические (формальдегидАКР, ацетальдегид, акролеин, бензальдегид, фталевый альдегид и прочие)Смеси углеводородов: нефти, бензиныР, керосины, уайт-спиритР, мазуты, битумы, асфальты, каменноугольные и нефтяные смолыК, пекиК, возгоны каменноугольных смол и пековК, масла минеральныеК (не полностью очищенные минеральные масла, сланцевые смолыАК и маслаАК);1 раз в год;
;;;;;;п.1.2.37 прил.1;Углерод оксид;1 раз в 2 года;
;;;;;;п.4.4.1 прил. 1;Размер объекта различения;1 раз в год;
Цех литья (управление производством);Специалист по индустриализации ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Цех окраски;Бригадир 1, 2, 3 категории;2;;1;1;п.1.2.2 прил.1;Альдегиды алифатические (предельные и непредельные) и ароматические (формальдегидАКР, ацетальдегид, акролеин, бензальдегид, фталевый альдегид и прочие);1 раз в год;
;;;;;;п.1.2.3 прил.1;Альдегидов и кетонов галогенопроизводные (хлорбензальдегид, фтор-ацетон, хлорацетофенон и прочие);1 раз в 2 года;
;;;;;;п.1.2.38 прил.1;Углеводороды ароматические: бензолКР и его производные: (толуолР, ксилолР, стирол и прочие);1 раз в 2 года;
;;;;;;п.3.4.1 прил.1;Локальная вибрация;1 раз в 2 года;
;;;;;;п. 6 прил.2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
;;;;;;п.1 прил. 2;Работы на высоте, верхолазные работы, а также работы по обслуживанию подъемных сооружений;1 раз в год;
;;;;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
;;;;;;п.4.4.1 прил. 1;Размер объекта различения;1 раз в год;
Цех окраски;Инженер-электроник;1;1;;;п.3.2.2.2 прил.1;электрическое и магнитное поле промышленной частоты (50 Гц);1 раз в 2 года;
;;;;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
;;;;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Цех окраски;Ведущий инженер по оборудованию ;0;;;;п.3.2.2.2 прил.1;электрическое и магнитное поле промышленной частоты (50 Гц);1 раз в 2 года;
;;;;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
Цех окраски;Мастер смены 1, 2, 3 категории ;2;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
;;;;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
;;;;;;п.4.4.1 прил. 1;Размер объекта различения;1 раз в год;
Цех окраски;Руководитель ремонтно-эксплуатационной службы;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
;;;;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
Цех окраски;Инженер-технолог;2;2;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Цех окраски;Начальник цеха ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
;;;;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
Цех окраски;Оператор производства 1, 2, 3, 4, 5, 6 категории;23;3;10;10;п.1.2.2 прил.1;Альдегиды алифатические (предельные и непредельные) и ароматические (формальдегидАКР, ацетальдегид, акролеин, бензальдегид, фталевый альдегид и прочие);1 раз в год;
;;;;;;п.1.2.3 прил.1;Альдегидов и кетонов галогенопроизводные (хлорбензальдегид, фтор-ацетон, хлорацетофенон и прочие);1 раз в 2 года;
;;;;;;п.1.2.38 прил.1;Углеводороды ароматические: бензолКР и его производные: (толуолР, ксилолР, стирол и прочие);1 раз в 2 года;
;;;;;;п.3.4.1 прил.1;Локальная вибрация;1 раз в 2 года;
;;;;;;п. 6 прил.2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
;;;;;;п.1 прил. 2;Работы на высоте, верхолазные работы, а также работы по обслуживанию подъемных сооружений;1 раз в год;
;;;;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
;;;;;;п.4.4.1 прил. 1;Размер объекта различения;1 раз в год;
Цех окраски;Слесарь-ремонтник 1, 2, 3, 4 категории ;4;4;;;п. 3.2.2.2 прил. 1;электрическое и магнитное поле промышленной частоты (50 Гц);1 раз в 2 года;
;;;;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
;;;;;;п.1 прил. 2;Работы на высоте, верхолазные работы, а также работы по обслуживанию подъемных сооружений;1 раз в год;
;;;;;;п.1.2.38 прил.1;Углеводороды ароматические: бензолКР и его производные: (толуолР, ксилолР, стирол и прочие);1 раз в 2 года;
;;;;;;п.1.2.3 прил.1;Альдегидов и кетонов галогенопроизводные (хлорбензальдегид, фтор-ацетон, хлорацетофенон и прочие);1 раз в 2 года;
;;;;;;п.3.4.1 прил.1;Локальная вибрация;1 раз в 2 года;
;;;;;;п. 1.2.15 прил.1;"Кислоты органические: метановая (муравьиная), этановая (уксусная), бутановая (масляная), пропионовая, 1-метилбутановая (изовалериановая), этадионовая кислота дигидрат (щавелевая), 4-метилпентановая (изокапроновая), проп-2-еновая (акриловая), бензойная и прочие; синтетические жирные кислоты";1 раз в 2 года;
;;;;;;п.1.2.2 прил.1;Альдегиды алифатические (предельные и непредельные) и ароматические (формальдегидАКР, ацетальдегид, акролеин, бензальдегид, фталевый альдегид и прочие);1 раз в год;
;;;;;;п.1.2.33.1 прил.1;Спирты, в том числе: алифатические одно- и многоатомные, ароматические и их производные: этанол, бутан-1-ол, бутан-2-ол, бутанол, пропан-1-ол, пропан-2-ол, 2-(Проп-2-енокси) этанол, 2-этоксиэтанолР, бензилкарбинолР, этан-1,2-диол (этиленгликоль), пропан-2-диол (пропиленгликоль) и прочие;1 раз в 2 года;
;;;;;;п.3.4.1 прил.1;Локальная вибрация;1 раз в 2 года;
Цех окраски;Технический специалист КПО (1, 2, 3 кат);4;4;;;п.1.2.38 прил.1;Углеводороды ароматические: бензолКР и его производные: (толуолР, ксилолР, стирол и прочие);1 раз в 2 года;
;;;;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
;;;;;;п.1 прил. 2;Работы на высоте, верхолазные работы, а также работы по обслуживанию подъемных сооружений;1 раз в год;
;;;;;;п. 1.2.21.1 прил.1;"натрий, калий, рубидий, цезий, цезиевая соль хлорированного бисдикар-бонилкобальта и прочие; кальций, магний, стронций, барий, магнид медиФ, магний додекаборид и прочие; лантан, иттрий, скандий, церий и их соединения:";1 раз в 2 года;
;;;;;;п. 1.2.15 прил.1;"Кислоты органические: метановая (муравьиная), этановая (уксусная), бутановая (масляная), пропионовая, 1-метилбутановая (изовалериановая), этадионовая кислота дигидрат (щавелевая), 4-метилпентановая (изокапроновая), проп-2-еновая (акриловая), бензойная и прочие; синтетические жирные кислоты";1 раз в 2 года;
;;;;;;п.1.2.33.1 прил.1;Спирты, в том числе: алифатические одно- и многоатомные, ароматические и их производные: этанол, бутан-1-ол, бутан-2-ол, бутанол, пропан-1-ол, пропан-2-ол, 2-(Проп-2-енокси) этанол, 2-этоксиэтанолР, бензилкарбинолР, этан-1,2-диол (этиленгликоль), пропан-2-диол (пропиленгликоль) и прочие;1 раз в 2 года;
;;;;;;п.1.2.48 прил.1;ГидроксибензолР (фенол) и его производные;1 раз в 2 года;
;;;;;;п.1.2.54.1 прил.1;Эфиры сложные кислот органических, в том числе: эфиры сложные уксусной кислоты (этилацетат, бутилацетат, 2-метоксиэтилацетатР, 2-этоксиэтилацетатР и прочие);1 раз в 2 года;
Цех окраски;Технический специалист по водоподготовке (1, 2, 3 кат);1;1;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
;;;;;;п.1 прил. 2;Работы на высоте, верхолазные работы, а также работы по обслуживанию подъемных сооружений;1 раз в год;
;;;;;;п. 1.2.15 прил.1;"Кислоты органические: метановая (муравьиная), этановая (уксусная), бутановая (масляная), пропионовая, 1-метилбутановая (изовалериановая), этадионовая кислота дигидрат (щавелевая), 4-метилпентановая (изокапроновая), проп-2-еновая (акриловая), бензойная и прочие; синтетические жирные кислоты";1 раз в 2 года;
;;;;;;п.1.2.54.1 прил.1;Эфиры сложные кислот органических, в том числе: эфиры сложные уксусной кислоты (этилацетат, бутилацетат, 2-метоксиэтилацетатР, 2-этоксиэтилацетатР и прочие);1 раз в 2 года;
Цех окраски;Технический специалист (1, 2, 3 кат);3;3;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
;;;;;;п.1.2.38 прил.1;Углеводороды ароматические: бензолКР и его производные: (толуолР, ксилолР, стирол и прочие);1 раз в 2 года;
;;;;;;п.1 прил. 2;Работы на высоте, верхолазные работы, а также работы по обслуживанию подъемных сооружений;1 раз в год;
;;;;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
Цех окраски;Электромеханик 1, 2, 3 категории ;2;2;;;п.3.2.2.2 прил.1;электрическое и магнитное поле промышленной частоты (50 Гц);1 раз в 2 года;
;;;;;;п.1.2.38 прил.1;Углеводороды ароматические: бензолКР и его производные: (толуолР, ксилолР, стирол и прочие);1 раз в 2 года;
;;;;;;п.6 прил. 2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
;;;;;;п.1 прил. 2;Работы на высоте, верхолазные работы, а также работы по обслуживанию подъемных сооружений;1 раз в год;
;;;;;;п. 1.2.21.1 прил.1;"натрий, калий, рубидий, цезий, цезиевая соль хлорированного бисдикар-бонилкобальта и прочие; кальций, магний, стронций, барий, магнид медиФ, магний додекаборид и прочие; лантан, иттрий, скандий, церий и их соединения:";1 раз в 2 года;
;;;;;;п. 1.2.15 прил.1;"Кислоты органические: метановая (муравьиная), этановая (уксусная), бутановая (масляная), пропионовая, 1-метилбутановая (изовалериановая), этадионовая кислота дигидрат (щавелевая), 4-метилпентановая (изокапроновая), проп-2-еновая (акриловая), бензойная и прочие; синтетические жирные кислоты";1 раз в 2 года;
;;;;;;п.1.2.33.1 прил.1;Спирты, в том числе: алифатические одно- и многоатомные, ароматические и их производные: этанол, бутан-1-ол, бутан-2-ол, бутанол, пропан-1-ол, пропан-2-ол, 2-(Проп-2-енокси) этанол, 2-этоксиэтанолР, бензилкарбинолР, этан-1,2-диол (этиленгликоль), пропан-2-диол (пропиленгликоль) и прочие;1 раз в 2 года;
;;;;;;п.1.2.48 прил.1;ГидроксибензолР (фенол) и его производные;1 раз в 2 года;
;;;;;;п.1.2.54.1 прил.1;Эфиры сложные кислот органических, в том числе: эфиры сложные уксусной кислоты (этилацетат, бутилацетат, 2-метоксиэтилацетатР, 2-этоксиэтилацетатР и прочие);1 раз в 2 года;
Цех сборки (интерьер);Бригадир 1, 2, 3, 4 категории ;3;3;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
;;;;;;п.1.1.2 прил.1;"Канцерогены, ""К""";1 раз в год;
;;;;;;п. 6 прил.2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
;;;;;;п.4.4.1 прил. 1;Размер объекта различения;1 раз в год;
Цех сборки (интерьер);Начальник цеха ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Цех сборки (интерьер);Наладчик 1, 2, 3, 4 категории ;4;4;;;п.1.1.2 прил.1;"Канцерогены, ""К""";1 раз в год;
;;;;;;п.3.4.1 прил.1;Локальная вибрация;1 раз в 2 года;
;;;;;;п.6 прил.2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
Цех сборки (интерьер);Оператор производства ;1;1;;;п.1.1.2 прил.1;"Канцерогены, ""К""";1 раз в год;
;;;;;;п.3.4.1 прил.1;Локальная вибрация;1 раз в 2 года;
;;;;;;п.4.1. прил.1;Физические перегрузки (физическая динамическая нагрузка, масса поднимаемого и перемещаемого груза вручную, стереотипные рабочие движения, статическая нагрузка, рабочая поза, наклоны корпуса, перемещение в пространстве);1 раз в год;
;;;;;;п. 6 прил.2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
