Структурное подразделение;Должность (специальность, профессия), разряд, класс (категория) квалификации;Количество человек;Из них мужчин;Из них женщин до 40 лет;Из них женщин старше 40 лет.;№ пункта и приложения приказа №302н;Наименование пункта приказа №302н;Периодичность;Примечание
;;;;;;п. 6 прил.2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
Отдел внутренней логистики;Координатор по внутренней логистике ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Отдел внутренней логистики;Мастер смены логистики ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
;;;;;;п.27.14 прил. 2;Мини-трактора, мотоблоки, автопогрузчики, электрокары, регулировщики и т.п.;1 раз в 2 года;
;;;;;;п.3.4.2 прил. 1;Общая вибрация;1 раз в 2 года;
Отдел внутренней логистики;Оператор логистики 1, 2 категории ;23;12;7;4;п.27.14 прил. 2;Мини-трактора, мотоблоки, автопогрузчики, электрокары, регулировщики и т.п.;1 раз в 2 года;
;;;;;;п.1 прил. 2;Работы на высоте, верхолазные работы, а также работы по обслуживанию подъемных сооружений;1 раз в год;
;;;;;;п.3.4.2 прил. 1;Общая вибрация;1 раз в 2 года;
;;;;;;п. 6 прил.2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
Отдел внутренней логистики;Оператор логистики 3, 4 категории ;0;;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
;;;;;;п.27.14 прил. 2;Мини-трактора, мотоблоки, автопогрузчики, электрокары, регулировщики и т.п.;1 раз в 2 года;
;;;;;;п.1 прил. 2;Работы на высоте, верхолазные работы, а также работы по обслуживанию подъемных сооружений;1 раз в год;
;;;;;;п.3.4.2 прил. 1;Общая вибрация;1 раз в 2 года;
;;;;;;п. 6 прил.2;Работы, непосредственно связанные с применением легковоспламеняющихся и взрывчатых материалов, работы во взрыво- и пожароопасных производствах;1 раз в год;
